3.4645976E7,106276.0,326.0,1.0,0,0,0,0,0,0,0,0,
7.0444997E7,170569.0,413.0,1.0,0,0,0,0,0,0,0,0,
0,0,0,0,7.0444997E7,170569.0,413.0,1.0,0,0,0,0,
0,0,0,0,2.11708736E8,355216.0,596.0,1.0,0,0,0,0,
0,0,0,0,0,0,0,0,2.11708736E8,355216.0,596.0,1.0,
0,0,0,0,0,0,0,0,3.76367048E8,521284.0,722.0,1.0,
511707.0,826.0,1.0,0,-511707.0,-826.0,-1.0,0,0,0,0,0,
0,0,0,0,1065648.0,1192.0,1.0,0,-1065648.0,-1192.0,-1.0,0,
2478.0,2.0,0,0,-2478.0,-2.0,0,0,0,0,0,0,
0,0,0,0,3576.0,2.0,0,0,-3576.0,-2.0,0,0,
1956.0,2,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,4332.0,2,0,0
